52019,42019,32019,22019,12019,122018,112018,102018,92018,82018,72018,62018,52018,42018,32018,22018,12018,122017,112017,102017,92017,82017,72017,62017,52017,42017,32017,22017,12017,122016,112016,102016,92016,82016,72016,62016,52016,42016,32016,22016,12016,122015,112015,102015,92015,82015,72015,62015,52015,42015,32015,22015,12015,122014,112014,102014,92014,82014,72014,62014,52014,42014,32014,22014,12014,122013,112013,102013,92013,82013,72013,62013,52013,42013,32013,22013,12013,122012,112012,102012,92012,82012,72012,62012,52012,42012,32012,22012,12012,122011,112011,102011,92011,82011,72011,62011,52011,42011,32011,22011,12011,122010,112010,102010,92010,82010,72010,62010,52010,42010,32010,22010,12010,122009,112009,102009,92009,82009,72009,62009,52009,42009,32009,22009,12009,122008,112008,102008,92008,82008,72008,62008,52008,42008,32008,22008,12008,122007,112007,102007,92007,82007,72007,62007,52007,42007,32007,22007,12007,122006,112006,102006,92006,82006,72006,62006,52006,42006,32006,22006,12006,122005,112005,102005,92005,82005,72005,62005,52005,42005,32005,22005,12005
HNDL IS,HNDL IS,HNDL IS,HPCL IS,HPCL IS,HPCL IS,HPCL IS,HPCL IS,HPCL IS,HPCL IS,HPCL IS,HPCL IS,HPCL IS,HPCL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HDFCB IS,HDFC IS,HDFC IS,HDFC IS,HDFC IS,HDFC IS,HDFC IS,HDFC IS,HDFC IS,HDFC IS,HDFC IS,HDFC IS,HDFC IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HUVR IS,HUVR IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,IDEA IS,IDEA IS,IDEA IS,INFO IS,INFO IS,INFO IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS
HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HPCL IS,HPCL IS,HPCL IS,HPCL IS,HPCL IS,HPCL IS,HPCL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HMCL IS,HDFCB IS,HDFCB IS,HDFCB IS,HDFCB IS,HDFCB IS,HDFCB IS,HDFCB IS,HDFCB IS,HDFCB IS,HDFCB IS,HDFCB IS,HDFCB IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,ICICIBC IS,ICICIBC IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,INFO IS,INFO IS,INFO IS,ITC IS,ITC IS,ITC IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS
ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HNDL IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HMCL IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,IDEA IS,IDEA IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,JSP IS,JSP IS,JSP IS,JSP IS,LT IS,LT IS,LT IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,ITC IS,ITC IS,ITC IS,LT IS,LT IS,LT IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,IH IS
IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,HUVR IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,HNDL IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,IDFC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,LT IS,LT IS,LT IS,LT IS,MM IS,MM IS,MM IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,LT IS,LT IS,LT IS,MM IS,MM IS,MM IS,LT IS,LT IS,LT IS,LT IS,LT IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,JETIN IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,INFO IS
IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,IHFL IS,ICICIBC IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,HUVR IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,MM IS,MM IS,MM IS,MM IS,MSIL IS,MSIL IS,MSIL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MM IS,MM IS,MM IS,MSIL IS,MSIL IS,MSIL IS,MM IS,MM IS,MM IS,MM IS,MM IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,ITC IS
INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IHFL IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,ICICIBC IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,NACL IS,NACL IS,NACL IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,MSIL IS,MSIL IS,MSIL IS,MTNL IS,MTNL IS,MTNL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,LT IS
IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,IIB IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,IDEA IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,NACL IS,NACL IS,NACL IS,NACL IS,NTPC IS,NTPC IS,NTPC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MM IS
ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,IOCL IS,INFO IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,IIB IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JPA IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,ONGC IS,ONGC IS,ONGC IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NIPCL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MTNL IS,MSIL IS
JSTL IS,JSTL IS,JSTL IS,JSTL IS,JSTL IS,JSTL IS,JSTL IS,JSTL IS,JSTL IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,IOCL IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,INFO IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,JSP IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,PNB IS,PNB IS,PNB IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,NTPC IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,NACL IS,MTNL IS
KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,ITC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LT IS,LT IS,LT IS,LT IS,LT IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,PNB IS,PNB IS,PNB IS,PNB IS,PWGR IS,PWGR IS,PWGR IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NACL IS
LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,KMB IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,MM IS,MM IS,MM IS,MM IS,MM IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,RBXY IS,RBXY IS,RBXY IS,RCAPT IS,RCAPT IS,RCOM IS,RCOM IS,RCOM IS,RCOM IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,NIPCL IS
MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RCAPT IS,RCAPT IS,RCAPT IS,RCOM IS,RCOM IS,RELI IS,RELI IS,RELI IS,RELI IS,RCOM IS,RCOM IS,RCOM IS,RCOM IS,RCOM IS,RCOM IS,RCOM IS,RCOM IS,RCOM IS,RCOM IS,RCOM IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,OBC IS
